#,Name,Team,Year,Pos,App,GS,W,L,SV,CG,BF,IP,IP/G,BIP,H,H/9,R,ER,BB,BB/9,BB%,K,K/9,K%,K/BB,HR,HBP,LOB %,ERA,ERA-,FIP,FIP-,E-F,WHIP
30,"Nash
 Mose",NOR,So,P,17,0,0,0,0,0,86,13.00,0.22,49,21,14.54,28,24,20,13.85,23.26,12,8.31,13.95,0.60,2,3,38.83,16.62,265.01,10.04,159.91,6.58,3.15
31,"Trey
 Bryant",NOR,So,P,19,0,0,1,0,0,120,23.33,0.40,75,27,10.42,28,27,19,7.33,15.83,17,6.56,14.17,0.89,1,8,49.43,10.41,165.99,7.15,113.86,3.26,1.97
35,"Jack
 Bach",NOR,Fr,P,19,1,0,1,1,0,154,32.67,0.56,99,31,8.54,28,28,18,4.96,11.69,25,6.89,16.23,1.39,2,10,55.16,7.71,122.94,6.41,102.15,1.30,1.50
36,"Porter
 Conn",NOR,Fr,P,9,7,2,1,0,0,165,31.67,0.55,77,38,10.80,34,28,27,7.67,16.36,53,15.06,32.12,1.96,3,5,54.71,7.96,126.92,5.49,87.48,2.47,2.05
37,"Blake
 Roundtree Jr.",NOR,Fr,P,15,1,0,2,1,0,106,22.33,0.39,64,21,8.46,23,22,16,6.45,15.09,18,7.25,16.98,1.12,6,2,52.29,8.87,141.43,8.87,141.39,0.00,1.66
38,"AJ
 Rinebold",NOR,Fr,P,3,2,0,1,0,0,26,3.67,0.06,13,7,17.17,5,5,6,14.71,23.08,4,9.82,15.38,0.67,1,2,73.53,12.27,195.65,12.48,198.79,-0.21,3.54
39,"Drew
 Conn",NOR,Sr,P,10,9,4,2,0,1,230,48.67,0.84,146,53,9.80,33,30,27,4.99,11.74,46,8.51,20.00,1.70,2,9,64.97,5.55,88.50,5.44,86.64,0.11,1.64
73,"Kyle
 Moore",NOR,Jr,P,2,2,0,1,0,0,49,11.00,0.19,42,14,11.45,11,10,0,0.00,0.00,3,2.45,6.12,#NUM!,2,2,37.88,8.18,130.43,6.94,110.55,1.24,1.27
73,"Max
 Jones",NOR,Jr,IF,1,0,0,0,0,0,8,1.00,0.02,2,1,9.00,1,1,4,36.00,50.00,2,18.00,25.00,0.50,0,0,80.00,9.00,143.51,12.57,200.35,-3.57,5.00
81,"Noah
 Leingang",NOR,Fr,P,13,0,1,0,0,0,104,20.00,0.34,80,28,12.60,13,13,8,3.60,7.69,14,6.30,13.46,1.75,1,1,67.42,5.85,93.28,5.17,82.45,0.68,1.80
82,"Parker
 Stoneking",NOR,So,P,1,1,1,0,0,0,24,5.33,0.09,13,4,6.75,2,2,3,5.07,12.50,6,10.13,25.00,2.00,1,1,90.91,3.38,53.89,7.01,111.75,-3.63,1.31
84,"Payton
 Mansfield",NOR,So,OF,4,0,0,0,0,0,31,6.33,0.11,28,11,15.64,4,4,1,1.42,3.23,0,0.00,0.00,0.00,0,2,71.43,5.68,90.57,6.00,95.54,-0.32,1.90
85,"Zach
 Courson",NOR,Fr,P,8,6,1,3,0,0,146,29.00,0.50,92,32,9.93,25,23,14,4.34,9.59,29,9.00,19.86,2.07,2,9,57.47,7.14,113.85,5.85,93.22,1.29,1.59
87,"Drake
 Downing",NOR,Fr,P,15,2,6,1,1,0,165,36.00,0.62,97,30,7.50,12,8,24,6.00,14.55,40,10.00,24.24,1.67,2,2,82.71,2.00,31.89,5.24,83.51,-3.24,1.50
88,"Christian
 Badorek",NOR,Sr,P,2,0,0,0,0,0,16,3.33,0.06,10,3,8.11,3,1,3,8.11,18.75,3,8.10,18.75,1.00,0,0,50.00,2.70,43.05,5.48,87.24,-2.78,1.80
89,"Jake
 Perrino",NOR,Fr,P,3,2,0,2,0,0,26,4.67,0.08,16,7,13.49,9,9,4,7.71,15.38,4,7.71,15.38,1.00,1,1,28.30,17.36,276.81,8.86,141.12,8.50,2.36
89,"Tyler
 Hensch",NOR,Fr,P,2,2,0,0,0,0,24,4.00,0.07,10,2,4.50,11,11,7,15.75,29.17,2,4.50,8.33,0.29,0,5,21.43,24.75,394.64,12.57,200.35,12.18,2.25
90,"Hunter
 Pudio",NOR,So,P,1,0,0,0,0,0,9,1.00,0.02,6,3,27.00,6,4,2,18.00,22.22,1,9.00,11.11,0.50,0,0,-20.00,36.00,574.02,8.57,136.62,27.43,5.00
92,"Graham
 Kasey",NOR,Fr,P,6,6,2,2,0,0,145,33.33,0.57,94,33,8.91,16,13,13,3.51,8.97,30,8.10,20.69,2.31,1,7,71.71,3.51,55.97,4.96,79.10,-1.45,1.38
93,"Gabe
 Helder",NOR,Fr,P,2,0,1,0,0,0,18,2.00,0.04,9,2,9.00,7,4,6,27.00,33.33,1,4.50,5.56,0.17,0,2,30.00,18.00,287.01,15.57,248.15,2.43,4.00
94,"PJ
 Rogan",NOR,Fr,P,2,2,0,1,0,0,43,8.00,0.14,32,15,16.88,10,10,5,5.62,11.63,3,3.38,6.98,0.60,0,3,56.52,11.25,179.38,6.82,108.74,4.43,2.50
95,"Kayden
 Althoff",NOR,Fr,P,3,3,0,1,0,0,48,10.33,0.18,27,11,9.58,13,12,6,5.23,12.50,14,12.19,29.17,2.33,1,0,25.64,10.45,166.63,4.87,77.51,5.58,1.65
96,"Jack
 Duncan",NOR,Fr,P,3,3,0,2,0,0,41,6.67,0.12,28,10,13.49,9,9,8,10.79,19.51,2,2.70,4.88,0.25,0,3,57.14,12.15,193.73,8.92,142.16,3.23,2.70
99,"Scott
 Newman",NOR,Fr,OF,1,0,0,0,0,0,17,3.00,0.05,8,3,9.00,5,5,3,9.00,17.65,3,9.00,17.65,1.00,1,2,45.45,15.00,239.18,11.91,189.73,3.09,2.00
6,"Eric
 Loomis",OFL,Jr,P,2,0,0,0,0,0,9,2.67,0.05,4,0,0.00,1,0,1,3.37,11.11,4,13.50,44.44,4.00,0,0,0.00,0.00,0.00,2.70,42.00,-2.70,0.37
7,"Caiden
 Otte",OFL,Fr,P,18,0,2,0,2,0,105,23.33,0.42,60,22,8.49,11,10,12,4.63,11.43,33,12.73,31.43,2.75,0,0,67.65,3.86,60.05,3.29,51.13,0.57,1.46
9,"Jake
 Vitale",OFL,So,OF,1,0,0,0,0,0,8,1.00,0.02,7,2,18.00,4,2,1,9.00,12.50,0,0.00,0.00,0.00,0,0,-33.33,18.00,280.03,7.57,117.75,10.43,3.00
10,"Braden
 Barnard",OFL,Fr,P,19,1,0,3,0,0,165,30.33,0.54,80,36,10.68,38,33,31,9.20,18.79,38,11.27,23.03,1.23,5,11,56.34,9.79,152.31,8.37,130.06,1.42,2.21
11,"Jack
 Jones",OFL,Jr,P,3,2,0,0,0,0,43,8.00,0.14,25,9,10.12,10,6,8,9.00,18.60,9,10.13,20.93,1.12,0,1,44.44,6.75,105.01,5.70,88.60,1.05,2.12
