#,Name,Team,Year,Pos,App,GS,W,L,SV,CG,BF,IP,IP/G,BIP,H,H/9,R,ER,BB,BB/9,BB%,K,K/9,K%,K/BB,HR,HBP,LOB %,ERA,ERA-,FIP,FIP-,E-F,WHIP
12,"Noah
 Willingham",THR,So,P,5,2,0,1,0,0,62,13.33,0.24,40,15,10.13,14,13,4,2.70,6.45,10,6.75,16.13,2.50,4,4,51.72,8.78,133.76,8.78,133.59,0.00,1.43
14,"Chase
 Austin",THR,Fr,IF,1,0,0,0,0,0,9,0.33,0.01,6,5,136.36,8,8,2,54.55,22.22,0,0.00,0.00,0.00,0,1,0.00,216.00,3290.60,31.85,484.80,184.15,21.21
17,"Shane
 Wilhelm",THR,Sr,P,8,4,2,2,0,0,130,26.33,0.48,95,34,11.62,27,22,13,4.44,10.00,15,5.13,11.54,1.15,1,6,50.39,7.52,114.56,6.09,92.76,1.43,1.79
18,"Nick
 Oyster",THR,So,P,6,5,2,0,0,0,104,26.33,0.48,79,23,7.86,11,9,11,3.76,10.58,12,4.10,11.54,1.09,1,1,71.43,3.08,46.92,5.52,84.09,-2.44,1.29
19,"James
 Cravens",THR,Fr,P,8,4,1,0,0,0,84,17.00,0.31,56,18,9.53,10,10,12,6.35,14.29,10,5.29,11.90,0.83,1,5,74.40,5.29,80.59,7.16,109.04,-1.87,1.76
21,"Kale
 Cameron",THR,Fr,P,11,2,2,1,0,0,132,28.00,0.51,90,34,10.93,16,13,14,4.50,10.61,21,6.75,15.91,1.50,2,5,73.71,4.18,63.68,6.04,91.93,-1.86,1.71
22,"Preston
 Drebes",THR,Fr,P,14,1,5,2,0,0,132,26.67,0.48,73,26,8.77,25,24,19,6.41,14.39,28,9.45,21.21,1.47,2,10,57.47,8.10,123.40,6.71,102.17,1.39,1.69
26,"Ben
 Vaughn",THR,Fr,P,7,0,0,0,0,0,34,6.67,0.12,23,8,10.79,6,5,6,8.10,17.65,3,4.05,8.82,0.50,1,1,66.18,6.75,102.83,8.77,133.54,-2.02,2.10
30,"Scott
 Wood",THR,So,P,12,9,3,2,0,1,179,42.33,0.77,104,37,7.87,26,23,14,2.98,7.82,49,10.42,27.37,3.50,9,3,67.63,4.89,74.50,6.23,94.81,-1.34,1.20
32,"Tyler
 Yotkewich",THR,Jr,P,3,3,2,0,0,0,58,14.33,0.26,37,10,6.28,10,6,1,0.63,1.72,17,10.67,29.31,17.00,0,3,28.57,3.77,57.43,3.04,46.27,0.73,0.77
33,"Ryan
 Daly",THR,Jr,P,11,11,3,2,0,0,226,55.33,1.01,124,45,7.32,29,28,20,3.25,8.85,73,11.87,32.30,3.65,7,2,66.43,4.55,69.32,4.77,72.66,-0.22,1.17
37,"Hunter
 Ralls",THR,Sr,P,6,4,1,2,0,0,96,22.00,0.40,76,33,13.50,19,13,4,1.64,4.17,15,6.14,15.63,3.75,0,1,50.00,5.32,81.02,3.89,59.26,1.43,1.68
38,"Michael
 Pfeiffer",THR,Fr,P,4,3,0,1,0,0,49,10.00,0.18,35,12,10.80,7,7,6,5.40,12.24,6,5.40,12.24,1.00,1,1,68.18,6.30,95.98,6.77,103.13,-0.47,1.80
39,"Nathan
 Ball",THR,Sr,P,17,0,2,0,5,0,91,19.67,0.36,34,10,4.58,5,5,22,10.07,24.18,32,14.64,35.16,1.45,0,3,85.71,2.29,34.89,5.13,78.15,-2.84,1.63
40,"Zach
 Haygood",THR,So,P,13,0,2,0,0,0,86,22.00,0.40,57,15,6.14,10,9,5,2.05,5.81,21,8.59,24.42,4.20,1,2,58.25,3.68,56.06,4.21,64.10,-0.53,0.91
42,"Austin
 Gast",THR,So,P,11,0,0,2,1,0,63,13.67,0.25,34,10,6.58,14,12,11,7.24,17.46,16,10.54,25.40,1.45,2,0,38.46,7.90,120.35,6.55,99.70,1.35,1.54
99,"Jackson
 Kranawetter",THR,Fr,P,5,3,3,0,0,0,77,18.00,0.33,41,11,5.50,5,2,11,5.50,14.29,24,12.00,31.17,2.18,0,1,78.26,1.00,15.23,3.91,59.49,-2.91,1.22
99,"Karsten
 Stotlar",THR,So,P,7,0,0,0,0,0,64,12.67,0.23,47,23,16.34,11,10,6,4.26,9.38,11,7.82,17.19,1.83,0,0,62.07,7.11,108.32,4.26,64.83,2.85,2.29
99,"Matthew
 Derrick",THR,Fr,P,6,1,1,1,0,0,51,10.00,0.18,30,10,9.00,11,10,7,6.30,13.73,8,7.20,15.69,1.14,1,5,53.40,9.00,137.11,7.87,119.87,1.13,1.70
99,"Roman
 Harrison",THR,Fr,P,6,0,0,1,4,0,36,8.00,0.15,23,7,7.88,5,3,6,6.75,16.67,7,7.88,19.44,1.17,0,0,61.54,3.38,51.49,5.07,77.25,-1.69,1.62
99,"Eli
 Pillsbury",THR,Fr,P,6,0,0,1,0,0,40,6.00,0.11,16,7,10.50,13,12,14,21.00,35.00,8,12.00,20.00,0.57,0,2,43.48,18.00,274.22,9.91,150.83,8.09,3.50
99,"Ethan
 Ames",THR,Fr,P,1,1,0,0,0,0,14,2.67,0.05,8,5,16.85,2,2,3,10.11,21.43,2,6.75,14.29,0.67,1,0,90.91,6.75,102.83,11.32,172.26,-4.57,3.00
-,TOTALS,-,-,-,"3,384",954,466,472,168,0,37755,7829.30,0.26,23317,"8,502",9.77,"6,398","5,413","5,157",5.93,13.66,"7,428",8.54,19.67,1.44,651,1202,60.67,6.19,100.00,6.19,100.00,0.00,1.74
