Name_With_Blanks,Name,#,Team,Conference,Division,Year,Pos,G,PA,PA/G,Qualified,AB,R,R/PA,H,1B,2B,3B,HR,RBI,BB,BB%,K,K%,TTO,TTO%,SB,CS,SB%,AVG,BABIP,OBP,SLG,OPS,OPS+,Adj. OPS+,ISO,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,RC,wOBA,wRAA,wRAA/PA,wRC,wRC+
"PJ
                                                                        Rogan","PJ
 Rogan",94,NOR,Eastern,Wabash River,Fr,P,3,3,0.05,No,2,2,0.67,1,1,0,0,0,2,1,33.33%,1,33.33%,2,66.67%,0,0,0.00%,0.500,1.000,0.667,0.500,1.167,191.22,188.77,0.000,0,0,0,1,0,0,0,0,0.00,0.84,0.527,0.43,0.14,0.94,183.58
"Scott
                                                                        Newman","Scott
 Newman",99,NOR,Eastern,Wabash River,Fr,OF,11,27,0.47,No,22,6,0.22,11,8,3,0,0,2,5,18.52%,6,22.22%,11,40.74%,3,0,100.00%,0.500,0.688,0.593,0.636,1.229,205.84,203.20,0.136,0,0,0,14,3,0,5,0,0.00,9.99,0.533,4.02,0.15,8.60,186.62
"Sean
                                                                        McGurk","Sean
 McGurk",74,NOR,Eastern,Wabash River,Fr,C,12,26,0.46,No,20,2,0.08,3,1,2,0,0,3,4,15.38%,8,30.77%,12,46.15%,1,0,100.00%,0.150,0.250,0.346,0.250,0.596,48.77,48.14,0.100,2,0,0,5,2,1,7,2,3.50,2.18,0.293,-1.53,-0.06,2.87,63.89
"Timmy
                                                                        O'Brien","Timmy
 O'Brien",17,NOR,Eastern,Wabash River,So,IF,15,62,1.09,No,53,12,0.19,18,12,4,0,2,14,5,8.06%,17,27.42%,24,38.71%,4,1,80.00%,0.340,0.457,0.419,0.528,0.947,135.37,133.63,0.188,3,1,0,28,6,0,6,12,0.50,13.18,0.412,2.76,0.04,13.26,124.95
"Tyler
                                                                        Bickers","Tyler
 Bickers",22,NOR,Eastern,Wabash River,So,IF,29,116,2.04,No,95,18,0.16,30,24,4,1,1,13,13,11.21%,17,14.66%,31,26.72%,5,2,71.43%,0.316,0.363,0.398,0.411,0.809,101.38,100.08,0.095,2,3,3,39,6,1,18,32,0.56,17.60,0.359,-0.23,0.00,19.43,97.54
"Tyler
                                                                        Castro","Tyler
 Castro",9,NOR,Eastern,Wabash River,Jr,IF,29,128,2.25,No,102,23,0.18,39,31,5,1,2,34,15,11.72%,13,10.16%,30,23.44%,9,1,90.00%,0.382,0.411,0.480,0.510,0.990,146.38,144.50,0.128,7,3,1,52,8,7,24,27,0.89,26.70,0.434,8.12,0.06,29.81,136.15
"Tyler
                                                                        Woltman","Tyler
 Woltman",26,NOR,Eastern,Wabash River,So,C,33,115,2.02,No,97,18,0.16,25,21,4,0,0,14,13,11.30%,14,12.17%,27,23.48%,5,3,62.50%,0.258,0.301,0.374,0.299,0.673,67.86,66.99,0.041,5,0,0,29,4,0,22,31,0.71,12.62,0.316,-4.53,-0.04,14.96,75.46
"Angelo
                                                                        Luna","Angelo
 Luna",88,OFL,Western,Prairie Land,Fr,OF,7,26,0.45,No,23,0,0.00,1,1,0,0,0,0,2,7.69%,14,53.85%,16,61.54%,0,0,0.00%,0.043,0.111,0.154,0.043,0.197,-50.52,-48.72,0.000,1,0,0,1,0,1,5,3,1.67,0.21,0.115,-5.57,-0.21,-1.16,-30.10
"Brady
                                                                        Kindhart","Brady
 Kindhart",78,OFL,Western,Prairie Land,Fr,IF,5,17,0.29,No,17,1,0.06,5,3,1,0,1,4,0,0.00%,8,47.06%,9,52.94%,0,0,0.00%,0.294,0.500,0.294,0.529,0.823,104.01,100.29,0.235,0,0,0,9,2,0,1,2,0.50,2.65,0.355,-0.09,-0.01,2.79,93.23
"Braedon
                                                                        Stoakes","Braedon
 Stoakes",13,OFL,Western,Prairie Land,So,OF,28,131,2.26,No,107,27,0.21,29,24,1,4,0,8,20,15.27%,21,16.03%,41,31.30%,21,2,91.30%,0.271,0.337,0.400,0.355,0.755,88.16,85.02,0.084,3,0,1,38,5,0,27,24,1.13,21.15,0.347,-1.66,-0.01,20.53,88.81
"Cameron
                                                                        Hailstone","Cameron
 Hailstone",8,OFL,Western,Prairie Land,Fr,IF,9,34,0.59,No,26,2,0.06,2,1,1,0,0,1,7,20.59%,9,26.47%,16,47.06%,0,0,0.00%,0.077,0.111,0.265,0.115,0.380,-4.80,-4.63,0.038,0,1,0,3,1,1,5,9,0.56,1.26,0.206,-4.60,-0.14,1.16,16.39
"Chase
                                                                        Beattie","Chase
 Beattie",23,OFL,Western,Prairie Land,Fr,IF,38,146,2.52,No,127,24,0.16,40,21,10,0,9,37,12,8.22%,33,22.60%,54,36.99%,0,0,0.00%,0.315,0.356,0.390,0.606,0.996,147.15,141.90,0.291,5,2,0,77,19,2,19,34,0.56,31.06,0.426,8.19,0.06,32.93,129.42
