Name_With_Blanks,Name,#,Team,Conference,Division,Year,Pos,G,PA,PA/G,Qualified,AB,R,R/PA,H,1B,2B,3B,HR,RBI,BB,BB%,K,K%,TTO,TTO%,SB,CS,SB%,AVG,BABIP,OBP,SLG,OPS,OPS+,Adj. OPS+,ISO,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,RC,wOBA,wRAA,wRAA/PA,wRC,wRC+
"Jeremy
                                                                        Piatkiewicz","Jeremy
 Piatkiewicz",76,TER,Eastern,Wabash River,Jr,IF,35,161,2.88,Yes,130,22,0.14,35,22,9,1,3,28,25,15.53%,28,17.39%,56,34.78%,7,2,77.78%,0.269,0.317,0.394,0.423,0.817,103.31,102.59,0.154,3,2,1,55,13,3,21,46,0.46,24.31,0.365,0.47,0.00,27.75,101.02
"Joe
                                                                        Hamilton","Joe
 Hamilton",81,TER,Eastern,Wabash River,So,OF,26,116,2.07,No,98,14,0.12,22,22,0,0,0,9,16,13.79%,18,15.52%,34,29.31%,6,2,75.00%,0.224,0.275,0.345,0.224,0.569,42.14,41.85,0.000,2,0,0,22,0,0,35,20,1.75,9.76,0.276,-8.56,-0.07,11.09,55.72
"Justin
                                                                        Bogard","Justin
 Bogard",82,TER,Eastern,Wabash River,Fr,OF,18,63,1.13,No,49,14,0.22,11,7,2,0,2,10,11,17.46%,18,28.57%,31,49.21%,3,0,100.00%,0.224,0.300,0.361,0.388,0.749,86.39,85.79,0.164,0,1,2,19,4,1,7,14,0.50,8.33,0.337,-1.33,-0.02,9.35,86.86
"Kaleb
                                                                        Marrs","Kaleb
 Marrs",15,TER,Eastern,Wabash River,Fr,P,9,5,0.09,No,5,0,0.00,0,0,0,0,0,0,0,0.00%,2,40.00%,2,40.00%,0,0,0.00%,0.000,0.000,0.000,0.000,0.000,-100.00,-99.30,0.000,0,0,0,0,0,1,2,1,2.00,0.00,0.000,-1.57,-0.31,-0.72,-86.12
"Keegan
                                                                        Garis","Keegan
 Garis",73,TER,Eastern,Wabash River,Jr,OF,14,58,1.04,No,49,5,0.09,11,11,0,0,0,4,7,12.07%,15,25.86%,22,37.93%,2,0,100.00%,0.224,0.324,0.345,0.224,0.569,42.14,41.85,0.000,2,0,0,11,0,1,10,11,0.91,4.71,0.277,-4.26,-0.07,5.57,55.99
"Matthew
                                                                        Albritton","Matthew
 Albritton",73,TER,Eastern,Wabash River,Jr,IF,13,47,0.84,No,40,9,0.19,11,8,3,0,0,4,6,12.77%,12,25.53%,18,38.30%,2,0,100.00%,0.275,0.393,0.383,0.350,0.733,82.64,82.06,0.075,1,0,0,14,3,3,6,10,0.60,5.38,0.336,-1.03,-0.02,6.93,86.30
"Morgan
                                                                        Colopy","Morgan
 Colopy",37,TER,Eastern,Wabash River,Jr,OF,31,131,2.34,No,110,32,0.24,37,24,6,2,5,22,21,16.03%,26,19.85%,52,39.69%,2,0,100.00%,0.336,0.405,0.443,0.564,1.007,150.26,149.22,0.228,0,0,0,62,13,2,16,25,0.64,29.28,0.437,8.59,0.07,30.79,138.02
"Nathan
                                                                        Frady","Nathan
 Frady",30,TER,Eastern,Wabash River,Fr,P,2,4,0.07,No,3,0,0.00,0,0,0,0,0,0,1,25.00%,0,0.00%,1,25.00%,0,0,0.00%,0.000,0.000,0.250,0.000,0.250,-36.78,-36.53,0.000,0,0,0,0,0,0,0,3,0.00,0.07,0.173,-0.66,-0.16,0.02,2.41
"Nazhir
                                                                        Bergen","Nazhir
 Bergen",23,TER,Eastern,Wabash River,Fr,OF,12,53,0.95,No,48,8,0.15,12,4,5,1,2,8,5,9.43%,18,33.96%,25,47.17%,2,0,100.00%,0.250,0.357,0.321,0.521,0.842,108.87,108.12,0.271,0,0,0,25,8,2,8,9,0.89,7.74,0.362,0.03,0.00,9.01,99.61
"Nolan
                                                                        Miller","Nolan
 Miller",91,TER,Eastern,Wabash River,So,P,9,11,0.20,No,7,5,0.45,2,0,0,1,1,3,2,18.18%,2,18.18%,5,45.45%,0,0,0.00%,0.286,0.250,0.545,1.000,1.545,282.92,280.95,0.714,2,0,0,7,2,0,2,1,2.00,4.39,0.595,2.23,0.20,4.09,219.02
"Payton
                                                                        Howard","Payton
 Howard",82,TER,Eastern,Wabash River,Jr,OF,19,75,1.34,No,66,11,0.15,18,9,6,0,3,14,8,10.67%,18,24.00%,29,38.67%,2,0,100.00%,0.273,0.333,0.360,0.500,0.860,113.59,112.80,0.227,1,0,0,33,9,2,16,14,1.14,12.13,0.376,0.93,0.01,13.64,106.65
"Sam
                                                                        Pesa","Sam
 Pesa",34,TER,Eastern,Wabash River,So,IF,40,158,2.82,Yes,125,23,0.15,29,21,6,1,1,22,23,14.56%,21,13.29%,45,28.48%,9,0,100.00%,0.232,0.262,0.367,0.320,0.687,71.24,70.74,0.088,6,4,0,40,8,3,24,46,0.52,18.90,0.318,-5.97,-0.04,20.80,77.01
"Slater
                                                                        Schield","Slater
 Schield",7,TER,Eastern,Wabash River,Jr,IF,52,238,4.25,Yes,199,40,0.17,67,58,6,3,0,31,35,14.71%,22,9.24%,57,23.95%,52,8,86.67%,0.337,0.379,0.445,0.397,0.842,109.84,109.07,0.060,4,0,0,79,9,8,59,45,1.31,43.93,0.383,4.47,0.02,44.80,110.39
"Steven
                                                                        Walsh","Steven
 Walsh",88,TER,Eastern,Wabash River,Fr,C,13,38,0.68,No,33,4,0.11,6,4,2,0,0,4,5,13.16%,16,42.11%,21,55.26%,0,0,0.00%,0.182,0.353,0.289,0.242,0.531,32.40,32.17,0.060,0,0,0,8,2,1,5,6,0.83,2.45,0.251,-3.63,-0.10,2.80,42.86
"Tripper
                                                                        Capps","Tripper
 Capps",19,TER,Eastern,Wabash River,Jr,IF,3,10,0.18,No,8,0,0.00,2,2,0,0,0,1,1,10.00%,3,30.00%,4,40.00%,0,0,0.00%,0.250,0.400,0.333,0.250,0.583,45.48,45.17,0.000,0,0,1,2,0,1,4,0,0.00,0.56,0.274,-0.76,-0.08,0.94,54.73
"Warren
                                                                        Bailey","Warren
 Bailey",29,TER,Eastern,Wabash River,Jr,C,45,179,3.20,Yes,159,22,0.12,52,33,14,1,4,31,11,6.15%,32,17.88%,47,26.26%,1,1,50.00%,0.327,0.381,0.385,0.503,0.888,120.64,119.81,0.176,6,3,0,80,19,7,38,33,1.15,29.48,0.386,3.84,0.02,34.16,111.95
"Xavier
                                                                        Croxton","Xavier
 Croxton",24,TER,Eastern,Wabash River,Jr,OF,38,131,2.34,No,106,27,0.21,33,25,3,2,3,19,20,15.27%,24,18.32%,47,35.88%,11,1,91.67%,0.311,0.370,0.419,0.462,0.881,119.19,118.36,0.151,1,2,2,49,8,1,27,23,1.17,24.71,0.389,3.10,0.02,25.30,113.28
"Zacheus
                                                                        Carr","Zacheus
 Carr",80,TER,Eastern,Wabash River,Jr,P,2,5,0.09,No,5,0,0.00,0,0,0,0,0,0,0,0.00%,4,80.00%,4,80.00%,0,0,0.00%,0.000,0.000,0.000,0.000,0.000,-100.00,-99.30,0.000,0,0,0,0,0,0,1,0,0.00,0.00,0.000,-1.57,-0.31,-0.72,-86.12
"Alex
                                                                        Wilson","Alex
 Wilson",1,THR,Western,Prairie Land,Jr,OF,13,58,1.05,No,39,16,0.28,11,4,4,2,1,18,17,29.31%,8,13.79%,26,44.83%,6,0,100.00%,0.282,0.323,0.500,0.564,1.064,164.68,155.80,0.282,1,1,0,22,7,0,5,12,0.42,15.16,0.456,4.76,0.08,14.59,142.75
"Alex
                                                                        Zimmerman","Alex
 Zimmerman",10,THR,Western,Prairie Land,So,IF,39,129,2.35,No,97,34,0.26,30,26,3,0,1,15,26,20.16%,14,10.85%,41,31.78%,4,4,50.00%,0.309,0.349,0.469,0.371,0.840,109.53,103.62,0.062,4,1,1,36,4,3,16,32,0.50,19.28,0.390,3.18,0.02,25.03,108.84
"Andrew
                                                                        Schroeder","Andrew
 Schroeder",99,THR,Western,Prairie Land,So,IF,14,43,0.78,No,35,4,0.09,5,3,2,0,0,4,7,16.28%,10,23.26%,17,39.53%,3,0,100.00%,0.143,0.200,0.286,0.200,0.486,21.34,20.19,0.057,0,0,1,7,2,1,12,7,1.71,2.79,0.239,-4.57,-0.11,2.71,31.56
"Bryce
                                                                        Toci","Bryce
 Toci",99,THR,Western,Prairie Land,Fr,IF,14,41,0.75,No,37,5,0.12,7,6,1,0,0,4,4,9.76%,16,39.02%,20,48.78%,1,0,100.00%,0.189,0.333,0.268,0.216,0.484,20.71,19.60,0.027,0,0,0,8,1,1,6,7,0.86,2.33,0.229,-4.73,-0.12,2.21,26.17
"Bryson
                                                                        Arnette","Bryson
 Arnette",35,THR,Western,Prairie Land,Jr,IF,43,181,3.29,Yes,155,30,0.17,54,40,7,2,5,40,20,11.05%,30,16.57%,55,30.39%,2,0,100.00%,0.348,0.402,0.431,0.516,0.947,135.46,128.16,0.168,4,2,0,80,14,7,32,38,0.84,34.64,0.414,8.28,0.05,38.94,121.29
"Cameron
                                                                        Hill","Cameron
 Hill",36,THR,Western,Prairie Land,Fr,OF,28,99,1.80,No,82,16,0.16,18,10,4,1,3,17,12,12.12%,42,42.42%,57,57.58%,6,1,85.71%,0.220,0.395,0.337,0.402,0.739,83.75,79.23,0.182,3,1,1,33,8,1,7,14,0.50,12.86,0.330,-2.69,-0.03,14.08,78.25
"Charlie
                                                                        Corum","Charlie
 Corum",4,THR,Western,Prairie Land,So,C,28,107,1.95,No,84,25,0.23,25,18,1,0,6,28,13,12.15%,19,17.76%,38,35.51%,3,0,100.00%,0.298,0.317,0.439,0.524,0.963,139.45,131.93,0.226,9,1,0,44,7,1,20,20,1.00,22.27,0.424,5.81,0.05,23.94,126.36
"Chase
                                                                        Austin","Chase
 Austin",14,THR,Western,Prairie Land,Fr,IF,29,99,1.80,No,76,18,0.18,21,17,4,0,0,12,20,20.20%,11,11.11%,31,31.31%,2,0,100.00%,0.276,0.318,0.434,0.329,0.763,90.39,85.51,0.053,2,1,0,25,4,2,23,18,1.28,13.37,0.358,-0.28,0.00,16.50,92.66
"Cole
                                                                        Smith","Cole
 Smith",99,THR,Western,Prairie Land,Jr,IF,26,115,2.09,No,93,11,0.10,27,19,6,1,1,17,16,13.91%,14,12.17%,31,26.96%,4,0,100.00%,0.290,0.325,0.409,0.409,0.818,103.67,98.08,0.119,4,2,0,38,8,1,23,30,0.77,18.53,0.367,0.54,0.00,20.03,97.08
"Dylan
                                                                        Drumke","Dylan
 Drumke",99,THR,Western,Prairie Land,So,OF,29,134,2.44,No,120,23,0.17,25,19,2,0,4,16,13,9.70%,29,21.64%,46,34.33%,6,1,85.71%,0.208,0.241,0.291,0.325,0.616,53.25,50.37,0.117,1,0,0,39,6,2,24,37,0.65,12.29,0.280,-9.45,-0.07,13.25,52.66
"Evan
                                                                        McCarthy","Evan
 McCarthy",99,THR,Western,Prairie Land,Fr,OF,6,24,0.44,No,18,6,0.25,6,5,1,0,0,3,5,20.83%,5,20.83%,10,41.67%,1,0,100.00%,0.333,0.462,0.500,0.389,0.889,121.78,115.22,0.056,1,0,0,7,1,0,4,2,2.00,4.54,0.412,1.06,0.04,5.13,120.37
"Grant
                                                                        Palmer","Grant
 Palmer",99,THR,Western,Prairie Land,So,OF,4,12,0.22,No,10,2,0.17,3,3,0,0,0,2,1,8.33%,1,8.33%,2,16.67%,2,1,66.67%,0.300,0.333,0.364,0.300,0.664,65.58,62.04,0.000,0,0,1,3,0,0,6,0,0.00,1.21,0.305,-0.58,-0.05,1.45,65.65
"Hayden
                                                                        Ralls","Hayden
 Ralls",25,THR,Western,Prairie Land,Fr,C,12,28,0.51,No,22,4,0.14,4,3,1,0,0,5,6,21.43%,7,25.00%,13,46.43%,0,0,0.00%,0.182,0.267,0.357,0.227,0.584,45.91,43.44,0.045,0,0,0,5,1,0,6,4,1.50,2.34,0.289,-1.77,-0.06,2.97,56.98
"Jackson
                                                                        Cooke","Jackson
 Cooke",11,THR,Western,Prairie Land,So,C,29,135,2.45,No,102,29,0.21,44,29,13,0,2,36,27,20.00%,8,5.93%,37,27.41%,3,0,100.00%,0.431,0.433,0.533,0.618,1.151,186.26,176.21,0.187,1,5,0,63,15,1,26,27,0.96,39.15,0.488,14.87,0.11,37.74,159.30
"Jackson
                                                                        Lindsey","Jackson
 Lindsey",34,THR,Western,Prairie Land,So,OF,49,224,4.07,Yes,166,44,0.20,56,39,14,1,2,36,53,23.66%,31,13.84%,86,38.39%,2,1,66.67%,0.337,0.403,0.504,0.470,0.974,142.65,134.96,0.133,4,1,0,78,17,1,49,28,1.75,46.77,0.436,14.64,0.07,52.59,132.87
"Jackson
                                                                        McCoy","Jackson
 McCoy",23,THR,Western,Prairie Land,So,OF,42,181,3.29,Yes,149,36,0.20,52,36,5,2,9,38,23,12.71%,26,14.36%,58,32.04%,5,1,83.33%,0.349,0.364,0.442,0.591,1.033,156.63,148.18,0.242,5,4,0,88,16,3,26,45,0.58,41.97,0.442,12.70,0.07,43.37,135.72
"Jaden
                                                                        Correa","Jaden
 Correa",7,THR,Western,Prairie Land,Fr,IF,4,12,0.22,No,11,5,0.42,2,1,1,0,0,0,1,8.33%,3,25.00%,4,33.33%,1,0,100.00%,0.182,0.250,0.250,0.273,0.523,30.13,28.51,0.091,0,0,0,3,1,0,3,2,1.50,0.95,0.238,-1.29,-0.11,0.74,30.77
"Jake
                                                                        Munroe","Jake
 Munroe",31,THR,Western,Prairie Land,Fr,IF,10,48,0.87,No,40,13,0.27,12,9,0,1,2,11,5,10.42%,5,10.42%,12,25.00%,0,0,0.00%,0.300,0.294,0.396,0.500,0.896,122.69,116.07,0.200,2,1,0,20,3,2,7,12,0.58,7.91,0.390,1.20,0.02,9.33,109.04
"Josh
                                                                        Griffin","Josh
 Griffin",3,THR,Western,Prairie Land,Jr,IF,37,161,2.93,Yes,129,29,0.18,27,20,3,0,4,23,24,14.91%,21,13.04%,49,30.43%,9,0,100.00%,0.209,0.215,0.340,0.326,0.666,65.88,62.33,0.117,3,3,2,42,7,0,35,43,0.81,18.88,0.306,-7.67,-0.05,19.61,66.17
"Kaleb
                                                                        Herbert","Kaleb
 Herbert",6,THR,Western,Prairie Land,So,IF,35,155,2.82,Yes,125,28,0.18,31,20,6,1,4,18,24,15.48%,36,23.23%,64,41.29%,9,1,90.00%,0.248,0.307,0.366,0.408,0.774,92.55,87.56,0.160,1,3,2,51,11,0,29,29,1.00,22.99,0.345,-2.25,-0.01,24.01,85.73
"Michael
                                                                        Mylott","Michael
 Mylott",16,THR,Western,Prairie Land,So,OF,37,140,2.55,No,120,18,0.13,35,22,10,0,3,19,14,10.00%,25,17.86%,42,30.00%,1,0,100.00%,0.292,0.340,0.379,0.450,0.829,106.14,100.41,0.158,4,2,0,54,13,5,30,29,1.03,20.65,0.365,0.47,0.00,24.19,96.28
"Nick
                                                                        Oyster","Nick
 Oyster",18,THR,Western,Prairie Land,So,P,7,1,0.02,No,1,0,0.00,0,0,0,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0.000,0.000,0.000,0.000,0.000,-100.00,-94.61,0.000,0,0,0,0,0,0,0,1,0.00,0.00,0.000,-0.31,-0.31,-0.14,-91.12
"Virgil
                                                                        Smith","Virgil
 Smith",24,THR,Western,Prairie Land,Sr,C,19,71,1.29,No,63,14,0.20,16,11,5,0,0,3,7,9.86%,4,5.63%,11,15.49%,3,0,100.00%,0.254,0.271,0.338,0.333,0.671,67.09,63.47,0.079,1,0,0,21,5,6,27,14,1.93,6.25,0.305,-3.44,-0.05,8.59,65.67
-,TOTALS,-,-,-,-,-,-,-,38335,79.29,-,31344,6495,0.17,8655,6106,1629,256,664,5713,5226,13.63%,7534,19.65%,13424,35.02%,2007,392,83.66%,0.276,0.339,0.395,0.408,0.803,100.00,100.00,0.132,1223,401,141,12788,2549,646,7001,7530,0.93,6325.97,0.361,0.00,0.00,6495.00,100.00
